问题,提取的实体,问题分类,意图分类
你能帮我找一些提高身体协调性的方法吗？,['身体协调性方法'],日常问题,商品数据
你能推荐一些提高反应速度的技巧吗？,['提高反应速度，技巧'],日常问题,商品数据
你能告诉我一些关于人类学的有趣知识吗？,['人类学，有趣知识'],日常问题,日常问题
你了解不同的旅行目的地吗？,['旅行目的地'],日常问题,日常问题
你能帮我找一些提高语言能力的方法吗？,['提高语言能力，方法'],日常问题,商品数据
你能推荐一些提高听力理解能力的方法吗？,['听力理解方法'],日常问题,商品数据
你能告诉我一些关于社会学的有趣事实吗？,['社会学，有趣事实'],日常问题,日常问题
你了解不同的节日庆典吗？,['节日庆典'],日常问题,日常问题
无轨迹等张肌力测试康复训练系统的品牌有哪些？,['无轨迹等张肌力测试康复训练系统，品牌'],商品数据,商品数据
无轨迹等张肌力测试康复训练系统的产品价格范围是多少？,['无轨迹等张肌力测试康复训练系统，产品价格范围'],商品数据,商品数据
无轨迹等张肌力测试康复训练系统的供应商城市有哪些？,['无轨迹等张肌力测试康复训练系统，供应商城市'],商品数据,商品数据
